?,[120],"""DefaultCommandBarFlyoutCommandBarOSStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""CommandBarFlyoutCommandBar"" FullName = ""Microsoft.UI.Xaml.Controls.Primitives.CommandBarFlyoutCommandBar""}"
?,[121],"""DefaultPivotStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""Pivot"" FullName = ""Microsoft.UI.Xaml.Controls.Pivot""}"
?,[122],"""DefaultPivotItemStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""PivotItem"" FullName = ""Microsoft.UI.Xaml.Controls.PivotItem""}"
,[123],"""PasswordBoxIconFontSize""",object {string},12,object {double},12
?,[124],"""PasswordBoxTopHeaderMargin""",object {string},"{0,0,0,8}",object {Microsoft.UI.Xaml.Thickness},"{0,0,0,8}"
?,[125],"""DefaultPasswordBoxStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""PasswordBox"" FullName = ""Microsoft.UI.Xaml.Controls.PasswordBox""}"
?,[126],"""MenuFlyoutItemDoublePlaceholderThemeThickness""",object {string},"{56,0,0,0}",object {Microsoft.UI.Xaml.Thickness},"{56,0,0,0}"
?,[127],"""MenuFlyoutItemChevronMargin""",object {string},"{24,0,0,0}",object {Microsoft.UI.Xaml.Thickness},"{24,0,0,0}"
?,[128],"""DefaultMenuFlyoutSubItemStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""MenuFlyoutSubItem"" FullName = ""Microsoft.UI.Xaml.Controls.MenuFlyoutSubItem""}"
?,[129],"""MenuFlyoutSeparatorThemePadding""",object {string},"{-4,1,-4,1}",object {Microsoft.UI.Xaml.Thickness},"{-4,1,-4,1}"
,[130],"""MenuFlyoutSeparatorHeight""",object {string},1,object {double},1
?,[131],"""MenuFlyoutPresenterThemePadding""",object {string},"{0,2,0,2}",object {Microsoft.UI.Xaml.Thickness},"{0,2,0,2}"
,[132],"""MenuFlyoutThemeMinHeight""",object {string},32,object {double},32
?,[133],"""DefaultMenuFlyoutPresenterStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""MenuFlyoutPresenter"" FullName = ""Microsoft.UI.Xaml.Controls.MenuFlyoutPresenter""}"
?,[134],"""DefaultMenuFlyoutItemStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""MenuFlyoutItem"" FullName = ""Microsoft.UI.Xaml.Controls.MenuFlyoutItem""}"
?,[135],"""AppBarButtonInnerBorderCompactMargin""",object {string},"{2,6,2,22}",object {Microsoft.UI.Xaml.Thickness},"{2,6,2,22}"
?,[136],"""AppBarButtonTextLabelOnRightMargin""",object {string},"{8,16,12,10}",object {Microsoft.UI.Xaml.Thickness},"{8,16,12,10}"
?,[137],"""AppBarButtonInnerBorderOverflowMargin""",object {string},"{4,0,4,0}",object {Microsoft.UI.Xaml.Thickness},"{4,0,4,0}"
?,[138],"""AppBarButtonContentViewboxMargin""",object {string},"{12,16,0,10}",object {Microsoft.UI.Xaml.Thickness},"{12,16,0,10}"
,[139],"""AppBarThemeCompactHeight""",object {string},48,object {double},48
?,[140],"""AppBarButtonOverflowTextTouchMargin""",object {string},"{0,9,0,12}",object {Microsoft.UI.Xaml.Thickness},"{0,9,0,12}"
?,[141],"""AppBarButtonInnerBorderMargin""",object {string},"{2,6,2,6}",object {Microsoft.UI.Xaml.Thickness},"{2,6,2,6}"
,[142],"""AppBarThemeMinHeight""",object {string},64,object {double},64
,[143],"""AppBarButtonContentHeight""",object {string},16,object {double},16
?,[144],"""AppBarButtonContentViewboxCollapsedMargin""",object {string},"{0,16,0,2}",object {Microsoft.UI.Xaml.Thickness},"{0,16,0,2}"
?,[145],"""AppBarButtonTextLabelMargin""",object {string},"{2,0,2,8}",object {Microsoft.UI.Xaml.Thickness},"{2,0,2,8}"
?,[146],"""AppBarButtonOverflowTextLabelPadding""",object {string},"{0,5,0,8}",object {Microsoft.UI.Xaml.Thickness},"{0,5,0,8}"
?,[147],"""DefaultAppBarButtonStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""AppBarButton"" FullName = ""Microsoft.UI.Xaml.Controls.AppBarButton""}"
?,[148],"""AppBarToggleButtonBorderThemeThickness""",object {string},"{1,1,1,1}",object {Microsoft.UI.Xaml.Thickness},"{1,1,1,1}"
?,[149],"""AppBarToggleButtonTextLabelOnRightMargin""",object {string},"{8,16,12,10}",object {Microsoft.UI.Xaml.Thickness},"{8,16,12,10}"
?,[150],"""AppBarToggleButtonOverflowTextTouchMargin""",object {string},"{0,9,0,12}",object {Microsoft.UI.Xaml.Thickness},"{0,9,0,12}"
?,[151],"""AppBarToggleButtonOverflowCheckTouchMargin""",object {string},"{12,10,12,10}",object {Microsoft.UI.Xaml.Thickness},"{12,10,12,10}"
?,[152],"""AppBarToggleButtonOverflowCheckMargin""",object {string},"{12,4,12,4}",object {Microsoft.UI.Xaml.Thickness},"{12,4,12,4}"
?,[153],"""AppBarToggleButtonTextLabelMargin""",object {string},"{2,0,2,8}",object {Microsoft.UI.Xaml.Thickness},"{2,0,2,8}"
?,[154],"""AppBarToggleButtonOverflowTextLabelPadding""",object {string},"{0,5,0,8}",object {Microsoft.UI.Xaml.Thickness},"{0,5,0,8}"
?,[155],"""DefaultAppBarToggleButtonStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""AppBarToggleButton"" FullName = ""Microsoft.UI.Xaml.Controls.AppBarToggleButton""}"
?,[156],"""CommandBarOverflowPresenterMargin""",object {string},"{0,4,0,4}",object {Microsoft.UI.Xaml.Thickness},"{0,4,0,4}"
?,[157],"""DefaultCommandBarOverflowPresenterStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""CommandBarOverflowPresenter"" FullName = ""Microsoft.UI.Xaml.Controls.CommandBarOverflowPresenter""}"
?,[158],"""LeftCornerRadiusFilterConverter""",object {string},{Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter},object {Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter},{Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter}
?,[159],"""RightCornerRadiusFilterConverter""",object {string},{Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter},object {Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter},{Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter}
?,[160],"""SplitButtonCommandBarStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""SplitButton"" FullName = ""Microsoft.UI.Xaml.Controls.SplitButton""}"
?,[161],"""AppBarButtonOverflowStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""AppBarButton"" FullName = ""Microsoft.UI.Xaml.Controls.AppBarButton""}"
?,[162],"""AppBarToggleButtonOverflowStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""AppBarToggleButton"" FullName = ""Microsoft.UI.Xaml.Controls.AppBarToggleButton""}"
,[163],"""AppBarMoreButtonColumnMinWidth""",object {string},6,object {double},6
?,[164],"""CommandBarMoreButtonMargin""",object {string},"{14,19,14,0}",object {Microsoft.UI.Xaml.Thickness},"{14,19,14,0}"
?,[165],"""DefaultCommandBarStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""CommandBar"" FullName = ""Microsoft.UI.Xaml.Controls.CommandBar""}"
?,[166],"""FlyoutContentPadding""",object {string},"{16,15,16,17}",object {Microsoft.UI.Xaml.Thickness},"{16,15,16,17}"
?,[167],"""DefaultFlyoutPresenterStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""FlyoutPresenter"" FullName = ""Microsoft.UI.Xaml.Controls.FlyoutPresenter""}"
?,[168],"""DefaultMediaTransportControlsStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},null
?,[169],"""DefaultListViewItemStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""ListViewItem"" FullName = ""Microsoft.UI.Xaml.Controls.ListViewItem""}"
?,[170],"""DefaultListBoxStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""ListBox"" FullName = ""Microsoft.UI.Xaml.Controls.ListBox""}"
?,[171],"""ListBoxItemPadding""",object {string},"{12,9,12,12}",object {Microsoft.UI.Xaml.Thickness},"{12,9,12,12}"
?,[172],"""DefaultListBoxItemStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""ListBoxItem"" FullName = ""Microsoft.UI.Xaml.Controls.ListBoxItem""}"
?,[173],"""DefaultHyperlinkButtonStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""HyperlinkButton"" FullName = ""Microsoft.UI.Xaml.Controls.HyperlinkButton""}"
?,[174],"""DefaultGridViewItemStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""GridViewItem"" FullName = ""Microsoft.UI.Xaml.Controls.GridViewItem""}"
,[175],"""FlipViewButtonScalePressed""",object {string},0.875,object {double},0.875
,[176],"""FlipViewButtonFontSize""",object {string},8,object {double},8
